ID;COORD_E;COORD_N;SETCENS;AREAP;CODDIST;DISTRITO;CODSUBPREF;SUBPREF;REGIAO5;REGIAO8;NOMESC;ENDESC;NUMESC;COMPLEND;ENDERECO;BAIESC;CODCEP;FONE1;FONE2;EMAIL;ED_DIRETOR;DIRETORIA;DRE;ED_ZONA;ZONA;CODESC;CODESCMEC;COD_EOL;ED_DEPADM;DEPADM;ED_TIPO;TIPO;ED_CATEG;CATEG;ALCRECHE;ALPRE;ALEE;AL9INI;AL9FIN;ALEM;ALPROF;ALEJAFUND;ALEJAEM;AL_TOTAL;CLCRECHE;CLPRE;CLEE;CL9INI;CL9FIN;CLEM;CLPROF;CLEJAFUND;CLEJAEM;CL_TOTAL
1;333322,672336709;7400093,79593303;355030870000029P;3550308005063;70;Santana;05;Santana-Tucuruvi;Norte;Norte 1;COLEGIO MILITAR DE SAO PAULO;RUA ALFREDO PUJOL;681;;RUA ALFREDO PUJOL;SANTANA;2017011;22877658;;;;;;;;;35007978;;1;FEDERAL;101;EF;1;ESCOLAS AUTONOMAS;0;0;0;0;371;0;0;0;0;371;0;0;0;0;12;0;0;0;0;12
2;322690,539666663;7401453,5938393;355030863000311P;3550308005310;63;Pirituba;02;Pirituba-Jaraguá;Norte;Norte 2;IFSP - CAMPUS SAO PAULO PIRITUBA;AVENIDA MUTINGA;951;;AVENIDA MUTINGA;JARDIM SANTO ELIAS;5110000;25040100;;;;;;;;;35011807;;1;FEDERAL;101;EF;1;ESCOLAS AUTONOMAS;0;0;0;0;0;347;484;0;45;484;0;0;0;0;0;9;17;0;2;17
3;353024,652762435;7400545,10859283;355030874000083P;3550308005196;74;São Miguel;23;São Miguel;Leste;Leste 2;IFSP - CAMPUS AVANCADO SAO PAULO - SAO MIGUEL PAULISTA;RUA TENENTE MIGUEL DELIA;105;;RUA TENENTE MIGUEL DELIA;VILA ROSARIA;8021090;986140826;;;;;;;;;35013257;;1;FEDERAL;101;EF;1;ESCOLAS AUTONOMAS;0;0;0;0;0;286;290;0;4;290;0;0;0;0;0;8;9;0;1;9
4;334318,860420679;7397401,7784879;355030856000041P;3550308005015;56;Pari;25;Mooca;Leste;Leste 1;IFSP - CAMPUS SAO PAULO;RUA PEDRO VICENTE;625;;RUA PEDRO VICENTE;PARI;1109010;27632664;;;;;;;;;35990012;;1;FEDERAL;101;EF;1;ESCOLAS AUTONOMAS;0;0;0;0;0;1022;1508;0;50;1508;0;0;0;0;0;28;46;0;2;46
5;332176,987544926;7389199,16356811;355030890000165P;3550308005046;90;Vila Mariana;12;Vila Mariana;Sul;Sul 1;PAULISTINHA DE EDUCACAO ESCOLA;RUA VARPA;54;;RUA VARPA;VILA CLEMENTINO;4039050;55764411;;;10316;Centro-Sul;;;;;35923692;;1;FEDERAL;101;EF;1;ESCOLAS AUTONOMAS;80;79;0;189;0;0;0;0;0;348;8;4;0;10;0;0;0;0;0;22
6;321469,397847861;7398640,41828343;355030840000043P;3550308005109;40;Jaguara;08;Lapa;Oeste;Oeste;AYRES DE MOURA PROFESSOR;RUA ARTUR ORLANDO;907;;RUA ARTUR ORLANDO;VILA JAGUARA;5118000;36251934;;;10101;Norte 1;;;;;35000012;;2.1;ESTADUAL-SE;201;EE;1;ESCOLAS AUTONOMAS;0;0;0;0;544;0;0;0;0;544;0;0;0;0;16;0;0;0;0;16
7;320229,843713842;7410569,66858205;355030861000273P;3550308005243;61;Perus;01;Perus;Norte;Norte 2;GAVIAO PEIXOTO BRIGADEIRO;MOGEIRO;710;;MOGEIRO;VILA PERUS;5208230;39170748;;;10101;Norte 1;;;;;35000024;;2.1;ESTADUAL-SE;201;EE;1;ESCOLAS AUTONOMAS;0;0;0;408;451;1081;0;0;549;2489;0;0;0;16;18;48;0;0;18;100
8;326534,487079496;7403506,01420152;355030829000297P;3550308005119;29;Freguesia do Ó;03;Freguesia-Brasilândia;Norte;Norte 2;JOAO SOLIMEO;DO SABAO;1497;;DO SABAO;JARDIM MARISTELA;2806000;39238001;;;10101;Norte 1;;;;;35000036;;2.1;ESTADUAL-SE;201;EE;1;ESCOLAS AUTONOMAS;0;0;0;0;797;1401;0;0;0;2198;0;0;0;0;26;50;0;0;0;76
9;328465,00917186;7404144,23227352;355030811000494P;3550308005189;11;Brasilândia;03;Freguesia-Brasilândia;Norte;Norte 2;WALFREDO ARANTES CALDAS PROFESSOR;DEPUTADO CANTIDIO SAMPAIO;1701;;DEPUTADO CANTIDIO SAMPAIO;VILA SOUZA;2860001;;;;10101;Norte 1;;;;;35000048;;2.1;ESTADUAL-SE;201;EE;1;ESCOLAS AUTONOMAS;0;0;0;0;0;1541;0;0;0;1541;0;0;0;0;0;55;0;0;0;55
10;316896,902821472;7406838,05909422;355030803000134P;3550308005307;3;Anhanguera;01;Perus;Norte;Norte 2;SEBASTIAO DE OLIVEIRA GUSMAO PROFESSOR;RUA FRANCISCO GIRON;SN;;RUA FRANCISCO GIRON;MORRO DOCE;5267000;39166331;;;10101;Norte 1;;;;;35000059;;2.1;ESTADUAL-SE;201;EE;1;ESCOLAS AUTONOMAS;0;0;0;0;0;1147;0;0;0;1147;0;0;0;0;0;40;0;0;0;40
